dates,shore,Hs,Tp,Dir,Eng,,,real_dates
2/08/2011,385.2109253,1.0213721,10.254293,231.2585,5.241671301,,,
3/08/2011,385.1750588,1.2423718,11.31786,239.02478,8.559799015,,,
4/08/2011,385.1415588,1.6358755,7.263111,239.5829,9.523997172,,,
5/08/2011,385.1104742,1.792246,11.8349905,238.99728,18.62769993,,,
6/08/2011,385.081851,1.6970681,7.6572833,239.41107,10.80610879,,,
7/08/2011,385.0557319,2.2422643,7.656138,234.0766,18.8616394,,,
8/08/2011,385.0321563,2.2682307,9.285045,232.28058,23.40747355,,,
9/08/2011,385.0111599,2.0301428,9.138984,236.5744,18.45640754,,,
10/08/2011,384.9927744,1.7335354,14.138925,235.14816,20.81986457,,,
11/08/2011,384.9770274,1.4890515,12.786864,233.84634,13.89247305,,,
12/08/2011,384.9639422,1.5216048,13.6514845,232.07986,15.48744224,,,
13/08/2011,384.9535373,1.3985513,10.117493,233.11844,9.696740987,,,
14/08/2011,384.9458263,2.4015942,9.493252,234.73576,26.82936177,,,
15/08/2011,384.9408176,2.4734788,8.245725,235.24783,24.71959275,,,
16/08/2011,384.9385139,2.2231715,8.73832,234.03192,21.16264552,,,
17/08/2011,384.9389124,1.9746782,11.374852,235.04094,21.73374154,,,
18/08/2011,384.9420039,1.5927256,10.619635,236.08914,13.20041519,,,
19/08/2011,384.947773,1.4364507,12.844524,239.04265,12.98660243,,,
20/08/2011,384.9561973,1.2994595,16.895454,238.13399,13.97949372,,,
21/08/2011,384.9672475,1.2050453,14.412525,237.48376,10.25517085,,,
22/08/2011,384.9808872,1.2840897,13.759072,236.90295,11.1167016,,,
23/08/2011,384.9970719,1.4748273,14.295582,235.33856,15.23632603,,,
24/08/2011,385.0157499,1.5475711,15.270271,235.57639,17.92024927,,,
25/08/2011,385.036861,1.6239425,16.057278,234.8636,20.7495796,,,
26/08/2011,385.0603371,1.5942531,14.352669,235.53445,17.87488637,,,
27/08/2011,385.0861015,1.6506724,15.698047,236.0967,20.95865866,,,
28/08/2011,385.114069,1.7414589,11.883009,237.93741,17.65830299,,,
29/08/2011,385.1441455,1.8480926,16.944046,236.74074,28.35702447,,,
30/08/2011,385.1762275,1.8511474,15.153519,236.89401,25.44436288,,,
31/08/2011,385.2102025,1.9183543,8.966957,237.10985,16.16958252,,,
1/09/2011,385.2459484,2.0782568,10.304985,236.16818,21.80930692,,,
2/09/2011,385.283333,2.0138185,10.786888,236.52354,21.43546464,,,
3/09/2011,385.3222145,2.0129592,8.64448,234.4354,17.16346223,,,
4/09/2011,385.3624405,1.9880431,13.284328,230.8289,25.72688831,,,
5/09/2011,385.4038485,1.6112458,11.8663025,231.72658,15.09506863,,,
6/09/2011,385.4462651,1.4868557,15.351798,236.86652,16.63002766,,,
7/09/2011,385.4895253,1.2857126,14.403074,237.00055,11.66645935,,,
8/09/2011,385.5334721,1.4613669,17.328384,238.78558,18.13312587,,,
9/09/2011,385.5779564,1.5443252,16.3115,238.1821,19.0619575,,,
10/09/2011,385.6228367,1.5575948,14.75486,238.21921,17.54042655,,,
11/09/2011,385.6679794,2.1199746,13.379506,237.95251,29.46439132,,,
12/09/2011,385.7132578,2.5062232,7.996372,240.65584,24.6109604,,,
13/09/2011,385.7585526,2.6091335,8.693834,238.00958,29.00013539,,,
14/09/2011,385.8037515,2.4824524,7.8565173,236.23692,23.72400522,,,
15/09/2011,385.848749,2.2926695,8.034176,235.7111,20.69285089,,,
16/09/2011,385.8934461,2.4535267,3.9302635,238.30856,11.59309314,,,
17/09/2011,385.9377502,2.3445067,10.607129,238.23296,28.56912156,,,
18/09/2011,385.981575,2.0172553,8.555507,237.43289,17.05939249,,,
19/09/2011,386.02484,1.9375424,6.320402,239.0179,11.62634516,,,
20/09/2011,386.0674707,2.1180654,7.437716,237.63153,16.34987373,,,
21/09/2011,386.1093981,1.7258983,8.010501,233.4573,11.69192877,,,
22/09/2011,386.1505586,1.4613669,8.162766,240.57542,8.541850371,,,
23/09/2011,386.1908939,1.555781,8.677701,240.3266,10.2919505,,,
24/09/2011,386.2303506,1.5378337,10.010096,239.29422,11.59986861,,,
25/09/2011,386.2688802,1.8695719,11.259913,237.2858,19.28481419,,,
26/09/2011,386.3064386,2.0304294,9.1860485,237.16483,18.55669376,,,
27/09/2011,386.3429864,1.7482369,7.9006214,236.41287,11.83199278,,,
28/09/2011,386.3784883,1.800265,8.009737,232.871,12.72000297,,,
29/09/2011,386.4129131,1.7995012,7.8843927,231.01312,12.51032547,,,
30/09/2011,386.4462335,1.4360688,7.6863046,232.14447,7.767194218,,,
1/10/2011,386.4784257,0.8570781,10.463837,246.01161,3.766412151,,,
2/10/2011,386.5094697,0.94118214,12.654455,246.56973,5.492712661,,,
3/10/2011,386.5393486,1.1290557,7.871314,241.60506,4.916703881,,,
4/10/2011,386.5680488,1.2438992,6.2301884,241.1583,4.72354043,,,
5/10/2011,386.5955596,1.327526,6.1381607,237.91335,5.300543531,,,
6/10/2011,386.6218733,1.2678608,8.092218,236.0156,6.373922855,,,
7/10/2011,386.6469848,1.5106263,9.409244,236.8026,10.52119073,,,
8/10/2011,386.6708914,1.638835,8.180809,236.47748,10.7662087,,,
9/10/2011,386.6935931,1.5715326,8.863188,236.80605,10.72587745,,,
10/10/2011,386.7150918,1.3541604,8.158184,237.53874,7.330435811,,,
11/10/2011,386.7353917,1.2050453,7.244114,238.06113,5.154518499,,,
12/10/2011,386.7544991,1.2542094,11.292086,237.39302,8.703829196,,,
13/10/2011,386.7724217,1.6328206,7.4808655,239.08801,9.772931806,,,
14/10/2011,386.7891693,1.8445604,10.576199,237.89204,17.63240105,,,
15/10/2011,386.8047531,1.700123,8.883617,237.46176,12.58191051,,,
16/10/2011,386.8191858,1.6926767,7.1325164,237.61435,10.0135228,,,
17/10/2011,386.8324816,1.5616043,8.912256,238.44742,10.64941436,,,
18/10/2011,386.8446558,2.1678023,7.9758477,239.8606,18.36590265,,,
19/10/2011,386.8557248,2.5595875,16.375557,239.01654,52.5692913,,,
20/10/2011,386.8657062,2.2545793,11.672415,237.55249,29.07286493,,,
21/10/2011,386.8746183,2.0335796,8.879894,236.949,17.99393779,,,
22/10/2011,386.8824806,1.7232254,8.768774,236.46649,12.75907328,,,
23/10/2011,386.8893132,1.5738237,7.352466,235.21002,8.923624084,,,
24/10/2011,386.8951367,1.5526307,8.632259,234.1144,10.19663517,,,
25/10/2011,386.8999727,1.5436571,7.8496437,234.39209,9.165321293,,,
26/10/2011,386.903843,1.6610781,9.119987,233.68825,12.33020804,,,
27/10/2011,386.9067701,1.8170667,8.611926,233.19199,13.93279055,,,
28/10/2011,386.9087768,1.6801709,7.8938437,233.30196,10.91921759,,,
29/10/2011,386.9098861,1.4897197,7.010322,232.80157,7.623302764,,,
30/10/2011,386.9101215,1.3092923,8.364005,232.0235,7.025602776,,,
31/10/2011,386.9095067,1.1025167,12.051025,233.06277,7.177784586,,,
1/11/2011,386.9080654,1.127051,8.047828,234.45944,5.009125392,,,
2/11/2011,386.9058215,1.5540626,8.896028,237.63702,10.52759669,,,
3/11/2011,386.9027991,1.6617463,8.424339,237.11671,11.39885832,,,
4/11/2011,386.8990223,1.7594062,7.3836827,236.34964,11.19956982,,,
5/11/2011,386.8945149,2.2021694,8.321524,235.03131,19.77426716,,,
6/11/2011,386.889301,2.0361571,6.7005405,234.40721,13.61220505,,,
7/11/2011,386.8834046,1.650577,10.839584,231.77332,14.47039124,,,
8/11/2011,386.8768494,1.1392704,3.9380915,231.37534,2.504583472,,,
9/11/2011,386.8696591,1.4310092,9.755397,231.91904,9.788719406,,,
10/11/2011,386.8618571,1.8879966,9.557977,230.60277,16.69415636,,,
11/11/2011,386.853467,1.0332097,10.678632,235.1894,5.585842036,,,
12/11/2011,386.8445116,1.0787461,10.999773,239.99805,6.272176632,,,
13/11/2011,386.8350141,1.6729156,8.260617,236.51941,11.32808838,,,
14/11/2011,386.824997,1.6313887,8.972494,238.54707,11.70103171,,,
15/11/2011,386.8144828,1.4572618,8.221287,239.53891,8.554823441,,,
16/11/2011,386.8034937,1.70671,9.553299,237.42877,13.63543247,,,
17/11/2011,386.7920515,1.695827,6.9133306,237.62535,9.741963471,,,
18/11/2011,386.780178,2.1415496,7.9270654,235.542,17.81413734,,,
19/11/2011,386.7678943,2.117779,8.085536,233.73087,17.76913022,,,
20/11/2011,386.7552217,1.7461367,8.557511,236.26854,12.78497923,,,
21/11/2011,386.7421809,1.996444,8.894214,238.79933,17.37072401,,,
22/11/2011,386.7287925,1.9654181,9.181274,238.21371,17.37836566,,,
23/11/2011,386.7150765,1.8230809,11.148029,238.06113,18.15540963,,,
24/11/2011,386.7010529,2.1699026,3.0647845,238.50789,7.070929432,,,
25/11/2011,386.6867415,2.2237444,5.940168,236.72836,14.39343804,,,
26/11/2011,386.6721615,2.21773,7.863391,231.66402,18.95061436,,,
27/11/2011,386.657332,1.9877567,8.656317,231.209,16.75929263,,,
28/11/2011,386.642272,1.660028,7.882102,233.01741,10.64311997,,,
29/11/2011,386.627,1.6349208,7.301297,234.91034,9.562898212,,,
30/11/2011,386.6115343,1.5794561,6.6255054,233.93294,8.09897785,,,
1/12/2011,386.5958931,1.0231858,10.078352,234.04979,5.170048428,,,
2/12/2011,386.5800942,0.6510662,13.380843,235.92899,2.779264335,,,
3/12/2011,386.5641554,0.7411845,12.462763,235.57294,3.354772493,,,
4/12/2011,386.548094,0.99798334,11.826685,237.98483,5.771725824,,,
5/12/2011,386.5319275,1.2541139,7.927638,234.99008,6.109615136,,,
6/12/2011,386.5156729,1.302228,8.295558,237.30986,6.893118467,,,
7/12/2011,386.4993471,1.4466653,7.8660636,237.15796,8.066584036,,,
