dates,shore,Hs,Tp,Dir,Eng,,,real_dates
10/01/2020,384.6898677,0.558465958,10.6256485,35.4283905,1.623846356,,,
11/01/2020,384.8237273,0.512070239,9.923986435,40.65081406,1.275091389,,,
12/01/2020,384.9444332,0.547201097,10.90803242,33.75196075,1.600429024,,,
13/01/2020,385.0512704,0.65564853,10.43338394,36.62368011,2.197674922,,,
14/01/2020,385.1438743,0.962279677,9.400651932,44.40233231,4.265369711,,,
15/01/2020,385.2341794,1.079605341,9.654682159,44.49306488,5.51396633,,,
16/01/2020,385.3221857,1.063376307,9.970001221,47.7964325,5.524147309,,,
17/01/2020,385.4078934,1.021849394,10.30231094,49.51341629,5.271139585,,,
18/01/2020,385.4913026,0.811064303,11.07700348,42.72109604,3.570499256,,,
19/01/2020,385.5724133,0.923139334,14.94206524,19.07788277,6.239376896,,,
20/01/2020,385.6512256,1.209054828,12.56920624,39.26857376,9.003179798,,,
21/01/2020,385.7277394,1.384613633,12.07030964,50.0014267,11.33892018,,,
22/01/2020,385.8019547,1.048579335,11.09810162,50.89015961,5.979259005,,,
23/01/2020,385.8738714,0.741757154,11.24740791,49.44742966,3.032298939,,,
24/01/2020,385.9434893,0.597128868,10.76483631,47.22043991,1.880787136,,,
25/01/2020,386.0108083,0.534790754,10.26851654,45.86500168,1.439035699,,,
26/01/2020,386.0758281,0.601138413,9.514444351,44.89653397,1.684722869,,,
27/01/2020,386.1385487,0.706721842,9.249913216,43.99198532,2.263762004,,,
28/01/2020,386.1989696,0.871397734,9.700123787,43.29227829,3.609160609,,,
29/01/2020,386.2570906,0.976217449,9.675683975,48.33187103,4.51825655,,,
30/01/2020,386.3129113,0.982804537,12.65015888,40.1889267,5.987235838,,,
31/01/2020,386.3664314,0.890490592,11.19385242,47.37371445,4.349449849,,,
1/02/2020,386.4176505,0.803522646,9.217645645,59.83317566,2.916166599,,,
2/02/2020,386.4665681,0.704908013,9.53420639,54.77433014,2.321376183,,,
3/02/2020,386.5131837,0.628918529,14.55763054,6.153778553,2.821470751,,,
4/02/2020,386.5574968,0.716650188,13.34819317,5.484993935,3.359177875,,,
5/02/2020,386.5995068,0.655457556,12.31632042,11.7769289,2.592783223,,,
6/02/2020,386.6392133,0.723237216,10.68445587,45.66223145,2.738482827,,,
