dates,observation,Yates,,,special_dates
23/11/2000,325.1346227,330.63705,,,
24/11/2000,325.124946,330.98584,,,
25/11/2000,325.1182424,331.45004,,,
26/11/2000,325.114512,331.36725,,,
27/11/2000,325.1137547,331.25052,,,
28/11/2000,325.1159705,331.21695,,,
29/11/2000,325.1211595,331.21097,,,
30/11/2000,325.1293215,330.71982,,,
1/12/2000,325.1404567,330.369,,,
2/12/2000,325.154565,329.69495,,,
3/12/2000,325.1716465,329.32053,,,
4/12/2000,325.191701,330.14346,,,
5/12/2000,325.2147287,331.02737,,,
6/12/2000,325.2407295,331.20355,,,
7/12/2000,325.2697035,330.92667,,,
8/12/2000,325.3016505,330.4188,,,
9/12/2000,325.3371925,330.93134,,,
10/12/2000,325.3763293,331.58017,,,
11/12/2000,325.419061,331.41364,,,
12/12/2000,325.4653875,332.2887,,,
13/12/2000,325.515309,331.8322,,,
14/12/2000,325.5688253,331.26096,,,
15/12/2000,325.6259365,330.6673,,,
16/12/2000,325.6853421,329.64752,,,
17/12/2000,325.7470421,329.94714,,,
18/12/2000,325.8110365,329.90744,,,
19/12/2000,325.8773254,330.67017,,,
20/12/2000,325.9459086,329.5938,,,
21/12/2000,326.0167863,328.90683,,,
22/12/2000,326.0899583,328.63403,,,
23/12/2000,326.1654248,329.0841,,,
24/12/2000,326.2431857,329.35507,,,
25/12/2000,326.3232409,329.06653,,,
26/12/2000,326.4055906,328.41116,,,
27/12/2000,326.4902347,327.57352,,,
28/12/2000,326.5771732,327.4938,,,
29/12/2000,326.6664062,327.81027,,,
30/12/2000,326.7579335,327.51846,,,
31/12/2000,326.8517552,326.92545,,,
1/01/2001,326.9478714,326.44037,,,
2/01/2001,327.0462819,325.57938,,,
3/01/2001,327.1469869,325.14218,,,
4/01/2001,327.2499863,326.00723,,,
5/01/2001,327.35528,326.10812,,,
6/01/2001,327.4628682,326.0606,,,
7/01/2001,327.5727508,325.9423,,,
8/01/2001,327.6849278,325.6244,,,
9/01/2001,327.7993992,325.6323,,,
10/01/2001,327.9161651,325.9345,,,
11/01/2001,328.0352253,326.40555,,,
12/01/2001,328.1565799,326.1165,,,
13/01/2001,328.280229,326.2352,,,
14/01/2001,328.4061724,326.03635,,,
15/01/2001,328.5344103,326.48935,,,
16/01/2001,328.6649426,327.5779,,,
17/01/2001,328.7957469,327.70718,,,
18/01/2001,328.9268233,327.21756,,,
19/01/2001,329.0581717,327.43127,,,
20/01/2001,329.1897922,327.98337,,,
21/01/2001,329.3216847,328.2466,,,
22/01/2001,329.4538492,328.49435,,,
23/01/2001,329.5862858,328.75525,,,
24/01/2001,329.7189945,329.04263,,,
25/01/2001,329.8519752,329.72916,,,
26/01/2001,329.9832112,329.94363,,,
27/01/2001,330.1127026,330.85757,,,
28/01/2001,330.2404493,331.69998,,,
29/01/2001,330.3664514,332.51486,,,
30/01/2001,330.4907089,332.32114,,,
31/01/2001,330.6132217,331.62564,,,
1/02/2001,330.7339898,331.73737,,,
2/02/2001,330.8530133,331.88608,,,
3/02/2001,330.9702921,332.04202,,,
4/02/2001,331.0858263,332.29385,,,
5/02/2001,331.1996158,332.73294,,,
